foodId,label,category,foodContentsLabel,image
6111242101203,Linea,"en:dairies, en:milks, en:homogenized-milks, en:uht-milks, en:skimmed-milks, en:uht-skimmed-milks","Le lait naturel UHT LINEA est garanti sans acides gras, ni cholestérol, Il continue à vous apporter les bienfaits des protéines, calcium et phosphore du lait.",https://images.openfoodfacts.org/images/products/611/124/210/1203/front_fr.71.400.jpg
6111032000624,Lait naturel,"en:dairies, en:milks, en:homogenized-milks, en:uht-milks, en:whole-milks, en:whole-milk-uht",lait entier uht,https://images.openfoodfacts.org/images/products/611/103/200/0624/front_fr.23.400.jpg
6111242107441,lait sans lactose,"en:dairies, en:milks-liquid-and-powder, en:specific-products, en:milks, en:products-for-specific-diets, en:homogenized-milks, en:pasteurised-products, en:products-without-gluten, en:uht-milks, en:lactose-free-milk","Lactose-free Milk , Vitamins: A , D.",https://images.openfoodfacts.org/images/products/611/124/210/7441/front_en.35.400.jpg
6111265800497,Albane Lait Entier UHT 1L,"en:dairies, en:milks-liquid-and-powder, en:milks",Lait UHT Entier 30g/l de matière grasse.,https://images.openfoodfacts.org/images/products/611/126/580/0497/front_fr.24.400.jpg
6111032009870,Raibi jamila,"en:beverages-and-beverages-preparations, en:beverages, en:dairies, en:dairy-drinks, en:milks, en:flavoured-milks","lait, sucre, poudre de lait, beurre, gras, édulcorants",https://images.openfoodfacts.org/images/products/611/103/200/9870/front_en.7.400.jpg
6111032009924,SALIM LBEN 440G,"en:dairies, en:milks-liquid-and-powder, en:milks, ar:salim","Lait partiellement écrémé, Lait reconstitué, Lactose, amidon, ferments lactiques",https://images.openfoodfacts.org/images/products/611/103/200/9924/front_fr.6.400.jpg
6111126005580,Chergui Lait,"en:dairies, en:fermented-foods, en:fermented-milk-products, en:desserts, en:dairy-desserts, en:milks-liquid-and-powder, en:fermented-dairy-desserts, en:milks, fr:boissons-au-lait",Lait frais pasteurisé demi écrémé,https://images.openfoodfacts.org/images/products/611/112/600/5580/front_fr.38.400.jpg
3270190025337,Lait demi-écrémé Stérilisé UHT,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, en:organic-semi-skimmed-milks",_Lait_ demi-écrémé,https://images.openfoodfacts.org/images/products/327/019/002/5337/front_fr.201.400.jpg
3176571983008,Viva lait 1/2 écrémé,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, en:uht-milk-fortified-with-vitamins, en:semi-skimmed-uht-milk-fortified-with-vitamins","Lait à 1% de matières grasses 98%, lactase, vitamines A, B1, B2, B5, B6, B8, B9, B12, E, PP et D,",https://images.openfoodfacts.org/images/products/317/657/198/3008/front_fr.112.400.jpg
3428273980046,Lait 100 % français Matin Léger® Demi-Écrémé,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, en:uht-milk-fortified-with-vitamins, en:cow-milks, en:lactose-free-milk, en:semi-skimmed-uht-milk-fortified-with-vitamins","milk at 1,2% m,g, sterilized uht lactose-free (,lt,0,19/100 ml) and fortified with vitamin d, ingredian ts:milk 1,2% fat (origin france), lactase, vitamin d, lalouroti nutri nnlla",https://images.openfoodfacts.org/images/products/342/827/398/0046/front_en.150.400.jpg
6111266962774,Leben,"en:dairies, en:fermented-foods, en:fermented-milk-products, en:desserts, en:dairy-desserts, en:milks-liquid-and-powder, en:fermented-dairy-desserts, en:milks, en:yogurts","Lait frais partiellement écrémé, ferments lactiques sélectionnés dont Bifidobacterium.",https://images.openfoodfacts.org/images/products/611/126/696/2774/front_fr.37.400.jpg
6111243590433,Lait,"en:dairies, en:milks",lait,https://images.openfoodfacts.org/images/products/611/124/359/0433/front_fr.15.400.jpg
3564700005552,Lait demi-écrémé,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, en:semi-skimmed-milk-uht",LAIT DEMI-ÉCRÉMÉ STÉRILISÉ,https://images.openfoodfacts.org/images/products/356/470/000/5552/front_en.162.400.jpg
6111250474276,Lait UHT Entier,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:uht-milks, en:whole-milks",lait,https://images.openfoodfacts.org/images/products/611/125/047/4276/front_en.26.400.jpg
3428272950057,Lait Bio Demi-Écrémé sans lactose,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, en:organic-semi-skimmed-milks, en:semi-skimmed-milk-uht",lait demi écrémé stérilisé uht,https://images.openfoodfacts.org/images/products/342/827/295/0057/front_en.171.400.jpg
6111126005719,Sport,"en:dairies, en:fermented-foods, en:fermented-milk-products, en:desserts, en:dairy-desserts, en:milks-liquid-and-powder, en:fermented-dairy-desserts, en:milks, en:yogurts, en:dietary-supplements, en:bodybuilding-supplements, en:flavoured-fermented-dairy-desserts, en:flavoured-yogurts, en:protein-shakes","حليب, دسم, بروتين حليبي, بروتين لاكتوسيروم, نشا, قمح, سكر, نكهة الموز, محلي, سيكلامات, أسبرتام, أسيزولفام, خمائر حليبية",https://images.openfoodfacts.org/images/products/611/112/600/5719/front_fr.3.400.jpg
3564707000246,lait demi-écrémé,"en:dairies, en:milks, en:homogenized-milks, en:semi-skimmed-milks, en:uht-milks, en:cow-milks, en:organic-semi-skimmed-milks",Lait demi-écrémé stérilisé UHT issu de l'agriculture biologique.,https://images.openfoodfacts.org/images/products/356/470/700/0246/front_fr.132.400.jpg
3250390204930,Lait uht 1/2 ecreme bio bt 1l,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, fr:autres-produits",Lait issu de l'agriculture biologique,https://images.openfoodfacts.org/images/products/325/039/020/4930/front_fr.137.400.jpg
3252210390014,Lait vit d,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, en:uht-milk-fortified-with-vitamins, en:semi-skimmed-milk-uht, en:semi-skimmed-uht-milk-fortified-with-vitamins","_Lait_ demi-écrémé, vitamine D",https://images.openfoodfacts.org/images/products/325/221/039/0014/front_en.206.400.jpg
6111126001582,Lait fermenté,"en:beverages, en:dairies, en:fermented-foods, en:fermented-milk-products, en:dairy-drinks, en:milks, en:fermented-drinks, en:fermented-milk-drinks, en:plain-whole-fermented-milk-drink","Lait demi écrémé, ferments lactiques",https://images.openfoodfacts.org/images/products/611/112/600/1582/front_fr.35.400.jpg
6130760003349,جبن طازج,"en:dairies, en:fermented-foods, en:fermented-milk-products, en:spreads, en:milks-liquid-and-powder, en:milks, ar:مشتقات-الحليب","حليب معاد تكوينه منزوع الدسم، قشدة طازجة،خمائر لبنية ، روبة. مادة دسمة 4 الى 5 %. يحفظ بين 2 و 5 م جين طازج SOUMMM طبیعی Fromage راز Frais nation الطاقة كيلوجول 856,901 كيلو حريرة الدهون متها الاحماض الدهنية المشبعة 3,06 (غ) والفلوسيدات نسبة القيمة الغذلة و المتوسطة منها 85,30 (2) 4,50 3,70 (غ)) ()) 3,70 ()) 7,50 منها السكر البروتينات الملح الكالسيوم الوزن الصافي : 90غ (2) 0,10 112 وسلم) 22/10 يستملك مبل DLC 6 &quot;130760&quot; 003349",https://images.openfoodfacts.org/images/products/613/076/000/3349/front_en.87.400.jpg
6111246950876,uht jibal 1/2L,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:pasteurised-milks, en:whole-milks, en:cow-milks, en:whole-pasteurised-milks",Lait entier,https://images.openfoodfacts.org/images/products/611/124/695/0876/front_fr.22.400.jpg
0811620022118,CHOCOLATE NUTRITION SHAKE,"en:beverages-and-beverages-preparations, en:beverages, en:dairies, en:milks-liquid-and-powder, en:dairy-drinks, en:milks, en:flavoured-milks, en:chocolate-milks, en:dietary-supplements, en:bodybuilding-supplements, en:protein-shakes, en:protein","filtered lowfat grade A milk, alkalized cocoa, natural flavors, cellulose gel, cellulose gum, salt, carrageenan, lactase enzyme, monk fruit juice concentrate, acesulfame potassium",https://images.openfoodfacts.org/images/products/081/162/002/2118/front_en.2402.400.jpg
3043933232701,lait demi écrémé,"en:beverages-and-beverages-preparations, en:beverages, en:dairies, en:milks-liquid-and-powder, en:dried-products, en:milks, en:dried-products-to-be-rehydrated, en:semi-skimmed-milks, en:dehydrated-beverages, en:milk-powders, en:semi-skimmed-milk-powder","lait en poudre demi-écrémé, émulsifiant : Lécithine de soja,  anti-oxydant : acide ascorbique,",https://images.openfoodfacts.org/images/products/304/393/323/2701/front_fr.95.400.jpg
6111242102194,Ghani,"en:dairies, en:fermented-foods, en:fermented-milk-products, en:desserts, en:dairy-desserts, en:milks-liquid-and-powder, en:fermented-dairy-desserts, en:milks, en:homogenized-milks, en:pasteurised-products, en:yogurts, en:uht-milks","lait frais, poudre de lait écrémé, sucre, carraghénanes, arômes, colorant. Matières grasses : 1,6%",https://images.openfoodfacts.org/images/products/611/124/210/2194/front_fr.24.400.jpg
6130760003769,L'ben,"en:beverages-and-beverages-preparations, en:beverages, en:dairies, en:fermented-foods, en:fermented-milk-products, en:milks-liquid-and-powder, en:dairy-drinks, en:fermented-drinks, en:milks, en:fermented-milk-drinks, fr:lben","Lait partiellement écrémé, ferments lactiques et BB-12&quot; Bifidobacterium. Taux de matière grasse: 1.2 à 2%",https://images.openfoodfacts.org/images/products/613/076/000/3769/front_fr.132.400.jpg
6130433000019,حليب كونديا 1 لتر,"en:dairies, en:milks, en:homogenized-milks, en:semi-skimmed-milks, en:uht-milks, en:skimmed-milks, fr:lait-candia","Eau, poudres de lait (entier et écrémé).",https://images.openfoodfacts.org/images/products/613/043/300/0019/front_en.46.400.jpg
3250390010012,Lait demi-ecrémé,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks",_Lait_,https://images.openfoodfacts.org/images/products/325/039/001/0012/front_fr.68.400.jpg
3218930156002,Le Lait Ribot,"en:beverages-and-beverages-preparations, en:beverages, en:dairies, en:fermented-foods, en:fermented-milk-products, en:desserts, en:dairy-desserts, en:milks-liquid-and-powder, en:dairy-drinks, en:milks, en:fermented-drinks, en:fermented-milk-drinks, en:buttermilks, en:cow-milks, en:plain-whole-fermented-milk-drink","Lait partiellement écrémé pasteurisé, ferments lactiques (lait).",https://images.openfoodfacts.org/images/products/321/893/015/6002/front_fr.72.400.jpg
3256224234555,Lait Demi-écrémé stérilisé UHT,"en:dairies, en:milks, en:homogenized-milks, en:semi-skimmed-milks, en:uht-milks, en:organic-semi-skimmed-milks",Lait demi-écrémé stérilisé UHT issu de l'agriculture biologique.,https://images.openfoodfacts.org/images/products/325/622/423/4555/front_fr.80.400.jpg
3564700005835,Lait demi-écrémé,"en:dairies, en:milks, en:homogenized-milks, en:semi-skimmed-milks, en:uht-milks",Lait demi-écrémé stérilisé UHT.,https://images.openfoodfacts.org/images/products/356/470/000/5835/front_fr.118.400.jpg
6111242101197,Lait Demi écrème Uht Jaouda,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, en:semi-skimmed-milk-uht",UHT lait,https://images.openfoodfacts.org/images/products/611/124/210/1197/front_en.43.400.jpg
6111242105270,Ghilal,"en:dairies, en:fermented-foods, en:fermented-milk-products, en:desserts, en:dairy-desserts, en:fermented-dairy-desserts, en:milks, en:yogurts, fr:raib, fr:raibi","Lait frais partiellement écrémé, sucre, préparation de fraise, texturant: amidon, correcteur d'acidité: acide citrique, arôme, ferments lactiques sélectionnés, colorant naturel.",https://images.openfoodfacts.org/images/products/611/124/210/5270/front_fr.28.400.jpg
3428272110017,Lait Matin léger BiO,"en:dairies, en:milks-liquid-and-powder, en:milks, en:homogenized-milks, en:pasteurised-products, en:semi-skimmed-milks, en:uht-milks, en:low-lactose-milk, en:semi-skimmed-milk-uht, en:semi-skimmed-milk-with-reduced-lactose","Lait, lactase",https://images.openfoodfacts.org/images/products/342/827/211/0017/front_fr.59.400.jpg
20339906,Lait demi-ecrémé,"en:dairies, en:milks, en:homogenized-milks, en:semi-skimmed-milks, en:uht-milks, en:organic-semi-skimmed-milks",Lait demi-écrémé stérilisé UHT issu de l'agriculture biologique.,https://images.openfoodfacts.org/images/products/000/002/033/9906/front_en.120.400.jpg
6111242105287,Ghilal Panaché,"en:dairies, en:fermented-foods, en:fermented-milk-products, en:desserts, en:dairy-desserts, en:fermented-dairy-desserts, en:milks, en:yogurts, en:stirred-yogurts","القيمة الغذاء 100 Valeurs nutemelles pour 100g kcal 68 ككال Valeurs énergétiques القيمة الحرارية البروتينات الكاربوهيدرات الدهنيات الكالسيوم الفوسفور Protéines Carbohydrates Lipides Calcium Phosphore 4 1,4 8 14,0 g 8 ع 4 0,7 mg 57 ملغ mg 38 ملغ",https://images.openfoodfacts.org/images/products/611/124/210/5287/front_ar.32.400.jpg
